parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, data_exts=None, dataset='data/multilabel/business1500/business1500.5.folds.pklz', dtype='int32', feature_scheme=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn-y/', save_model=True, seed=1337, sklearn_args=None, suffix=None, verbose=1, y_only=True)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	100	0.10000	2	345	17	59	258	29	59	-2.24123	-inf	-2.19965
5.00000	1.00000	100	0.10000	3	325	17	58	240	28	58	-2.22060	-inf	-2.27549
5.00000	1.00000	100	0.10000	4	363	19	74	254	36	74	-2.20237	-inf	-2.33329
5.00000	1.00000	100	0.20000	0	329	19	54	250	26	54	-2.25378	-inf	-2.16014
5.00000	1.00000	100	0.20000	1	345	17	56	263	27	56	-2.22796	-inf	-2.26905
5.00000	1.00000	100	0.20000	2	345	17	59	258	29	59	-2.24118	-inf	-2.19896
5.00000	1.00000	100	0.20000	3	325	17	58	240	28	58	-2.22077	-inf	-2.27259
5.00000	1.00000	100	0.20000	4	363	19	74	254	36	74	-2.20263	-inf	-2.33237
5.00000	1.00000	100	0.50000	0	329	19	54	250	26	54	-2.25556	-inf	-2.16086
5.00000	1.00000	100	0.50000	1	345	17	56	263	27	56	-2.22881	-inf	-2.27014
5.00000	1.00000	100	0.50000	2	345	17	59	258	29	59	-2.24257	-inf	-2.19944
5.00000	1.00000	100	0.50000	3	325	17	58	240	28	58	-2.22242	-inf	-2.26905
5.00000	1.00000	100	0.50000	4	363	19	74	254	36	74	-2.20448	-inf	-2.33253
5.00000	1.00000	100	1.00000	0	329	19	54	250	26	54	-2.25987	-inf	-2.16433
5.00000	1.00000	100	1.00000	1	345	17	56	263	27	56	-2.23253	-inf	-2.27448
5.00000	1.00000	100	1.00000	2	345	17	59	258	29	59	-2.24664	-inf	-2.20275
5.00000	1.00000	100	1.00000	3	325	17	58	240	28	58	-2.22656	-inf	-2.26826
