parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], cv=5, dataset='data/multilabel/plant978/plant978.5.folds.pklz', features=None, g_factor=[5.0, 10.0, 15.0, 20.0], gzip=True, kde_leaves=False, min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/ml-repr-spn/', save_model=True, seed=1337, sklearn_args=None, suffix=None, test_ext=None, train_ext=None, valid_ext=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	fold:	n_edges:	depth:	n_weights:	n_leaves:	n_sums:	n_prods:	train_ll	valid_ll:	test_ll
5.00000	1.00000	100	0.10000	0	2413	13	192	2126	96	192	-97.71713	-inf	-102.32725
5.00000	1.00000	100	0.10000	1	2484	11	211	2169	105	211	-97.46236	-inf	-102.50835
5.00000	1.00000	100	0.10000	2	2616	13	261	2226	130	261	-97.49709	-inf	-100.93274
5.00000	1.00000	100	0.10000	3	2509	13	204	2204	102	204	-97.33264	-inf	-101.97675
5.00000	1.00000	100	0.10000	4	2409	13	181	2139	90	181	-97.71956	-inf	-102.61476
5.00000	1.00000	100	0.20000	0	2413	13	192	2126	96	192	-97.70787	-inf	-102.06650
5.00000	1.00000	100	0.20000	1	2484	11	211	2169	105	211	-97.46603	-inf	-102.27306
5.00000	1.00000	100	0.20000	2	2616	13	261	2226	130	261	-97.51020	-inf	-100.64379
5.00000	1.00000	100	0.20000	3	2509	13	204	2204	102	204	-97.33118	-inf	-101.74173
5.00000	1.00000	100	0.20000	4	2409	13	181	2139	90	181	-97.72753	-inf	-102.36953
5.00000	1.00000	100	0.50000	0	2413	13	192	2126	96	192	-97.76018	-inf	-101.72407
5.00000	1.00000	100	0.50000	1	2484	11	211	2169	105	211	-97.53967	-inf	-101.96144
5.00000	1.00000	100	0.50000	2	2616	13	261	2226	130	261	-97.59571	-inf	-100.28300
5.00000	1.00000	100	0.50000	3	2509	13	204	2204	102	204	-97.39436	-inf	-101.44893
5.00000	1.00000	100	0.50000	4	2409	13	181	2139	90	181	-97.80931	-inf	-102.04073
5.00000	1.00000	100	1.00000	0	2413	13	192	2126	96	192	-97.94222	-inf	-101.54484
5.00000	1.00000	100	1.00000	1	2484	11	211	2169	105	211	-97.74400	-inf	-101.80686
5.00000	1.00000	100	1.00000	2	2616	13	261	2226	130	261	-97.80803	-inf	-100.10947
5.00000	1.00000	100	1.00000	3	2509	13	204	2204	102	204	-97.58913	-inf	-101.31092
5.00000	1.00000	100	1.00000	4	2409	13	181	2139	90	181	-98.02292	-inf	-101.86334
5.00000	1.00000	100	2.00000	0	2413	13	192	2126	96	192	-98.45257	-inf	-101.61747
5.00000	1.00000	100	2.00000	1	2484	11	211	2169	105	211	-98.28855	-inf	-101.91479
5.00000	1.00000	100	2.00000	2	2616	13	261	2226	130	261	-98.35555	-inf	-100.21343
5.00000	1.00000	100	2.00000	3	2509	13	204	2204	102	204	-98.11647	-inf	-101.42497
5.00000	1.00000	100	2.00000	4	2409	13	181	2139	90	181	-98.57608	-inf	-101.93160
5.00000	1.00000	500	0.10000	0	1145	5	12	1128	6	12	-100.32244	-inf	-101.94885
5.00000	1.00000	500	0.10000	1	1155	5	14	1135	7	14	-100.10990	-inf	-102.55809
5.00000	1.00000	500	0.10000	2	1157	5	16	1134	8	16	-100.70100	-inf	-100.84261
5.00000	1.00000	500	0.10000	3	1147	5	16	1124	8	16	-100.38609	-inf	-101.77704
5.00000	1.00000	500	0.10000	4	1150	7	16	1127	8	16	-100.27557	-inf	-102.36954
5.00000	1.00000	500	0.20000	0	1145	5	12	1128	6	12	-100.30649	-inf	-101.86336
5.00000	1.00000	500	0.20000	1	1155	5	14	1135	7	14	-100.10396	-inf	-102.48437
5.00000	1.00000	500	0.20000	2	1157	5	16	1134	8	16	-100.69442	-inf	-100.73636
5.00000	1.00000	500	0.20000	3	1147	5	16	1124	8	16	-100.37517	-inf	-101.66973
5.00000	1.00000	500	0.20000	4	1150	7	16	1127	8	16	-100.27048	-inf	-102.23644
5.00000	1.00000	500	0.50000	0	1145	5	12	1128	6	12	-100.32462	-inf	-101.78117
5.00000	1.00000	500	0.50000	1	1155	5	14	1135	7	14	-100.13815	-inf	-102.41078
5.00000	1.00000	500	0.50000	2	1157	5	16	1134	8	16	-100.72255	-inf	-100.63309
5.00000	1.00000	500	0.50000	3	1147	5	16	1124	8	16	-100.39594	-inf	-101.55840
5.00000	1.00000	500	0.50000	4	1150	7	16	1127	8	16	-100.30312	-inf	-102.07696
5.00000	1.00000	500	1.00000	0	1145	5	12	1128	6	12	-100.42171	-inf	-101.78975
5.00000	1.00000	500	1.00000	1	1155	5	14	1135	7	14	-100.24909	-inf	-102.42062
5.00000	1.00000	500	1.00000	2	1157	5	16	1134	8	16	-100.82463	-inf	-100.63625
5.00000	1.00000	500	1.00000	3	1147	5	16	1124	8	16	-100.49096	-inf	-101.54869
5.00000	1.00000	500	1.00000	4	1150	7	16	1127	8	16	-100.41071	-inf	-102.01743
5.00000	1.00000	500	2.00000	0	1145	5	12	1128	6	12	-100.71057	-inf	-101.96578
5.00000	1.00000	500	2.00000	1	1155	5	14	1135	7	14	-100.55320	-inf	-102.59961
5.00000	1.00000	500	2.00000	2	1157	5	16	1134	8	16	-101.11315	-inf	-100.82959
5.00000	1.00000	500	2.00000	3	1147	5	16	1124	8	16	-100.77262	-inf	-101.72100
5.00000	1.00000	500	2.00000	4	1150	7	16	1127	8	16	-100.70740	-inf	-102.12422
10.00000	1.00000	10	0.10000	0	1252	9	100	1104	49	100	-99.34825	-inf	-101.82640
10.00000	1.00000	10	0.10000	1	1183	9	77	1069	38	77	-99.40976	-inf	-102.07916
10.00000	1.00000	10	0.10000	2	1225	9	88	1094	44	88	-99.80549	-inf	-100.38631
10.00000	1.00000	10	0.10000	3	1259	11	102	1108	50	102	-99.64651	-inf	-101.59522
10.00000	1.00000	10	0.10000	4	1196	7	91	1061	45	91	-99.45537	-inf	-102.03845
10.00000	1.00000	10	0.20000	0	1252	9	100	1104	49	100	-99.33803	-inf	-101.74887
10.00000	1.00000	10	0.20000	1	1183	9	77	1069	38	77	-99.41333	-inf	-102.00503
10.00000	1.00000	10	0.20000	2	1225	9	88	1094	44	88	-99.80775	-inf	-100.28921
10.00000	1.00000	10	0.20000	3	1259	11	102	1108	50	102	-99.64629	-inf	-101.50492
10.00000	1.00000	10	0.20000	4	1196	7	91	1061	45	91	-99.45337	-inf	-101.91827
10.00000	1.00000	10	0.50000	0	1252	9	100	1104	49	100	-99.35390	-inf	-101.65513
10.00000	1.00000	10	0.50000	1	1183	9	77	1069	38	77	-99.45196	-inf	-101.92237
10.00000	1.00000	10	0.50000	2	1225	9	88	1094	44	88	-99.84414	-inf	-100.18311
10.00000	1.00000	10	0.50000	3	1259	11	102	1108	50	102	-99.67890	-inf	-101.40655
10.00000	1.00000	10	0.50000	4	1196	7	91	1061	45	91	-99.48065	-inf	-101.76889
10.00000	1.00000	10	1.00000	0	1252	9	100	1104	49	100	-99.43881	-inf	-101.62977
10.00000	1.00000	10	1.00000	1	1183	9	77	1069	38	77	-99.55740	-inf	-101.91598
10.00000	1.00000	10	1.00000	2	1225	9	88	1094	44	88	-99.94694	-inf	-100.16861
10.00000	1.00000	10	1.00000	3	1259	11	102	1108	50	102	-99.78282	-inf	-101.39515
10.00000	1.00000	10	1.00000	4	1196	7	91	1061	45	91	-99.57474	-inf	-101.70728
10.00000	1.00000	10	2.00000	0	1252	9	100	1104	49	100	-99.70396	-inf	-101.74286
10.00000	1.00000	10	2.00000	1	1183	9	77	1069	38	77	-99.84305	-inf	-102.06418
10.00000	1.00000	10	2.00000	2	1225	9	88	1094	44	88	-100.22913	-inf	-100.32721
10.00000	1.00000	10	2.00000	3	1259	11	102	1108	50	102	-100.07367	-inf	-101.55328
10.00000	1.00000	10	2.00000	4	1196	7	91	1061	45	91	-99.84697	-inf	-101.79694
10.00000	1.00000	50	0.10000	0	1246	9	98	1101	48	98	-99.35983	-inf	-101.79442
10.00000	1.00000	50	0.10000	1	1191	9	79	1074	39	79	-99.39489	-inf	-102.06655
10.00000	1.00000	50	0.10000	2	1196	9	78	1080	39	78	-99.84640	-inf	-100.42885
10.00000	1.00000	50	0.10000	3	1276	11	107	1118	52	107	-99.56889	-inf	-101.50519
10.00000	1.00000	50	0.10000	4	1195	7	91	1060	45	91	-99.47556	-inf	-102.01602
10.00000	1.00000	50	0.20000	0	1246	9	98	1101	48	98	-99.34969	-inf	-101.71912
10.00000	1.00000	50	0.20000	1	1191	9	79	1074	39	79	-99.39851	-inf	-101.99186
10.00000	1.00000	50	0.20000	2	1196	9	78	1080	39	78	-99.84870	-inf	-100.32996
10.00000	1.00000	50	0.20000	3	1276	11	107	1118	52	107	-99.56937	-inf	-101.41528
10.00000	1.00000	50	0.20000	4	1195	7	91	1060	45	91	-99.47324	-inf	-101.89894
10.00000	1.00000	50	0.50000	0	1246	9	98	1101	48	98	-99.36566	-inf	-101.63056
10.00000	1.00000	50	0.50000	1	1191	9	79	1074	39	79	-99.43712	-inf	-101.90721
10.00000	1.00000	50	0.50000	2	1196	9	78	1080	39	78	-99.88598	-inf	-100.22049
10.00000	1.00000	50	0.50000	3	1276	11	107	1118	52	107	-99.60381	-inf	-101.31851
10.00000	1.00000	50	0.50000	4	1195	7	91	1060	45	91	-99.49801	-inf	-101.75412
10.00000	1.00000	50	1.00000	0	1246	9	98	1101	48	98	-99.45043	-inf	-101.61086
10.00000	1.00000	50	1.00000	1	1191	9	79	1074	39	79	-99.54211	-inf	-101.89744
10.00000	1.00000	50	1.00000	2	1196	9	78	1080	39	78	-99.99024	-inf	-100.20186
10.00000	1.00000	50	1.00000	3	1276	11	107	1118	52	107	-99.71036	-inf	-101.31010
10.00000	1.00000	50	1.00000	4	1195	7	91	1060	45	91	-99.58785	-inf	-101.69531
10.00000	1.00000	50	2.00000	0	1246	9	98	1101	48	98	-99.71476	-inf	-101.73031
10.00000	1.00000	50	2.00000	1	1191	9	79	1074	39	79	-99.82666	-inf	-102.03934
10.00000	1.00000	50	2.00000	2	1196	9	78	1080	39	78	-100.27375	-inf	-100.35371
10.00000	1.00000	50	2.00000	3	1276	11	107	1118	52	107	-100.00546	-inf	-101.47313
10.00000	1.00000	50	2.00000	4	1195	7	91	1060	45	91	-99.85445	-inf	-101.78631
10.00000	1.00000	100	0.10000	0	1235	9	94	1095	47	94	-99.38006	-inf	-101.89631
10.00000	1.00000	100	0.10000	1	1175	9	74	1065	37	74	-99.42589	-inf	-102.10841
10.00000	1.00000	100	0.10000	2	1201	9	78	1085	39	78	-99.82875	-inf	-100.49831
10.00000	1.00000	100	0.10000	3	1265	11	102	1114	50	102	-99.59130	-inf	-101.52403
10.00000	1.00000	100	0.10000	4	1195	7	91	1060	45	91	-99.47556	-inf	-102.01602
10.00000	1.00000	100	0.20000	0	1235	9	94	1095	47	94	-99.37047	-inf	-101.82067
10.00000	1.00000	100	0.20000	1	1175	9	74	1065	37	74	-99.42910	-inf	-102.03336
10.00000	1.00000	100	0.20000	2	1201	9	78	1085	39	78	-99.83045	-inf	-100.39663
10.00000	1.00000	100	0.20000	3	1265	11	102	1114	50	102	-99.59258	-inf	-101.43537
10.00000	1.00000	100	0.20000	4	1195	7	91	1060	45	91	-99.47324	-inf	-101.89894
10.00000	1.00000	100	0.50000	0	1235	9	94	1095	47	94	-99.38636	-inf	-101.72922
10.00000	1.00000	100	0.50000	1	1175	9	74	1065	37	74	-99.46646	-inf	-101.94836
10.00000	1.00000	100	0.50000	2	1201	9	78	1085	39	78	-99.86654	-inf	-100.28147
10.00000	1.00000	100	0.50000	3	1265	11	102	1114	50	102	-99.62768	-inf	-101.34069
10.00000	1.00000	100	0.50000	4	1195	7	91	1060	45	91	-99.49801	-inf	-101.75412
10.00000	1.00000	100	1.00000	0	1235	9	94	1095	47	94	-99.47009	-inf	-101.70446
10.00000	1.00000	100	1.00000	1	1175	9	74	1065	37	74	-99.56973	-inf	-101.93854
10.00000	1.00000	100	1.00000	2	1201	9	78	1085	39	78	-99.96959	-inf	-100.25781
10.00000	1.00000	100	1.00000	3	1265	11	102	1114	50	102	-99.73394	-inf	-101.33363
10.00000	1.00000	100	1.00000	4	1195	7	91	1060	45	91	-99.58785	-inf	-101.69531
10.00000	1.00000	100	2.00000	0	1235	9	94	1095	47	94	-99.73202	-inf	-101.81507
10.00000	1.00000	100	2.00000	1	1175	9	74	1065	37	74	-99.85163	-inf	-102.08079
10.00000	1.00000	100	2.00000	2	1201	9	78	1085	39	78	-100.25195	-inf	-100.40533
10.00000	1.00000	100	2.00000	3	1265	11	102	1114	50	102	-100.02772	-inf	-101.49688
10.00000	1.00000	100	2.00000	4	1195	7	91	1060	45	91	-99.85445	-inf	-101.78631
10.00000	1.00000	500	0.10000	0	1017	5	24	982	12	24	-100.51344	-inf	-102.03414
10.00000	1.00000	500	0.10000	1	1026	7	28	985	14	28	-100.27758	-inf	-102.66703
10.00000	1.00000	500	0.10000	2	1007	5	24	972	12	24	-100.89865	-inf	-100.93416
10.00000	1.00000	500	0.10000	3	1005	5	22	973	11	22	-100.80485	-inf	-102.13441
10.00000	1.00000	500	0.10000	4	1033	5	36	980	18	36	-100.23671	-inf	-102.30822
10.00000	1.00000	500	0.20000	0	1017	5	24	982	12	24	-100.50850	-inf	-101.98922
10.00000	1.00000	500	0.20000	1	1026	7	28	985	14	28	-100.27936	-inf	-102.60761
10.00000	1.00000	500	0.20000	2	1007	5	24	972	12	24	-100.90272	-inf	-100.86170
10.00000	1.00000	500	0.20000	3	1005	5	22	973	11	22	-100.80892	-inf	-102.07817
10.00000	1.00000	500	0.20000	4	1033	5	36	980	18	36	-100.23889	-inf	-102.20679
10.00000	1.00000	500	0.50000	0	1017	5	24	982	12	24	-100.53569	-inf	-101.95853
10.00000	1.00000	500	0.50000	1	1026	7	28	985	14	28	-100.31150	-inf	-102.55274
10.00000	1.00000	500	0.50000	2	1007	5	24	972	12	24	-100.94104	-inf	-100.79160
10.00000	1.00000	500	0.50000	3	1005	5	22	973	11	22	-100.85035	-inf	-102.03137
10.00000	1.00000	500	0.50000	4	1033	5	36	980	18	36	-100.27238	-inf	-102.08536
10.00000	1.00000	500	1.00000	0	1017	5	24	982	12	24	-100.62790	-inf	-101.99834
